Name/ID,Parent,companyId,confidence,date,isDeleted,isProcessed,labels,location,originalImageUrl,processedImageUrl,project_id,regions,severity
name=100023_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8610826730728149, 0.6714695692062378, 0.6576370596885681, 0.5552346110343933, 0.4876035153865814]","Jul 08, 2019",False,True,Porcelain Insulators Flashed,"[37.39076992605347, -122.13448568732397]",https://storage.googleapis.com/buzz_statging_images/100023_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100023_processed_2019-08-08,test_project_id,"[[1026, 167, 1166, 392], [44, 133, 402, 798], [123, 36, 2074, 793], [11, 94, 2117, 781], [1760, 139, 2115, 829]]",High
name=100023_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8610826730728149, 0.6714695692062378, 0.6576370596885681, 0.5552346110343933, 0.4876035153865814]","Jul 08, 2019",False,True,Porcelain Insulators Broken,"[37.39076992605347, -122.13448568732397]",https://storage.googleapis.com/buzz_statging_images/100023_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100023_processed_2019-08-08,test_project_id,"[[1026, 167, 1166, 392], [44, 133, 402, 798], [123, 36, 2074, 793], [11, 94, 2117, 781], [1760, 139, 2115, 829]]",High
name=100124_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8966526389122009, 0.804293692111969, 0.5976225733757019]","Jul 09, 2019",False,True,Porcelain Insulators Broken,"[37.502176481000305, -122.1023809955861]",https://storage.googleapis.com/buzz_statging_images/100124_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100124_processed_2019-08-08,test_project_id,"[[35, 0, 2058, 1257], [778, 245, 1125, 1021], [0, 83, 715, 858]]",High
name=100124_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8966526389122009, 0.804293692111969, 0.5976225733757019]","Jul 09, 2019",False,True,Porcelain Insulators Good,"[37.502176481000305, -122.1023809955861]",https://storage.googleapis.com/buzz_statging_images/100124_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100124_processed_2019-08-08,test_project_id,"[[35, 0, 2058, 1257], [778, 245, 1125, 1021], [0, 83, 715, 858]]",High
name=100137_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9402655363082886, 0.938316822052002, 0.936983048915863, 0.8505662679672241, 0.6529609560966492]","Aug 01, 2019",False,True,Porcelain Insulators Broken,"[37.557991999145386, -122.1799519242058]",https://storage.googleapis.com/buzz_statging_images/100137_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100137_processed_2019-08-08,test_project_id,"[[1137, 401, 1527, 838], [792, 283, 1093, 860], [24, 0, 2136, 1085], [1528, 458, 1881, 964], [1358, 689, 1473, 815]]",High
name=100138_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9654527902603149, 0.936977744102478, 0.9085105657577515, 0.8958122134208679, 0.8782820701599121, 0.7667911648750305, 0.7344247102737427, 0.5644438862800598]","Aug 02, 2019",False,True,Porcelain Insulators Broken,"[37.31521552284535, -122.04875943991]",https://storage.googleapis.com/buzz_statging_images/100138_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100138_processed_2019-08-08,test_project_id,"[[2079, 41, 2178, 410], [1672, 40, 1760, 391], [0, 0, 2869, 470], [2249, 84, 2383, 377], [206, 82, 346, 332], [1250, 29, 1357, 394], [857, 7, 952, 409], [1056, 27, 1149, 408]]",High
name=100197_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9735562205314636, 0.9702707529067993, 0.9476707577705383]","Aug 01, 2019",False,True,Connectors Corroded,"[37.44120296460224, -122.09583176965954]",https://storage.googleapis.com/buzz_statging_images/100197_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100197_processed_2019-08-08,test_project_id,"[[1052, 2346, 1125, 3170], [937, 3, 987, 279], [934, 369, 1101, 2226]]",Medium
name=100197_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9735562205314636, 0.9702707529067993, 0.9476707577705383]","Aug 01, 2019",False,True,Conductor Good,"[37.44120296460224, -122.09583176965954]",https://storage.googleapis.com/buzz_statging_images/100197_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100197_processed_2019-08-08,test_project_id,"[[1052, 2346, 1125, 3170], [937, 3, 987, 279], [934, 369, 1101, 2226]]",Medium
name=140077_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9445605278015137, 0.9150051474571228, 0.8601386547088623, 0.5151771903038025]","Jul 08, 2019",False,True,Conductor Good,"[37.38663736036798, -122.37852055914148]",https://storage.googleapis.com/buzz_statging_images/140077_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/140077_processed_2019-08-08,test_project_id,"[[888, 1607, 1074, 2873], [964, 873, 1580, 2165], [714, 0, 894, 1364], [1060, 1719, 1415, 2119]]",Medium
name=140077_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9445605278015137, 0.9150051474571228, 0.8601386547088623, 0.5151771903038025]","Jul 08, 2019",False,True,Dampers Damaged,"[37.38663736036798, -122.37852055914148]",https://storage.googleapis.com/buzz_statging_images/140077_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/140077_processed_2019-08-08,test_project_id,"[[888, 1607, 1074, 2873], [964, 873, 1580, 2165], [714, 0, 894, 1364], [1060, 1719, 1415, 2119]]",Medium
